"Plot1"
"Time (sec)","Motor Torque1 (newton-meter)","Angular Displacement1 (deg)"
3.32,0.259414211739697,-10.5027348697345
3.36,0.257781236336872,-11.3027348697342
3.4,0.256116288577396,-12.1027348697342
3.44,0.254419196442661,-12.9027348697342
3.48,0.25268977688209,-13.7027348697348
3.52,0.250927837336741,-14.5027348697342
3.56,0.249133177127323,-15.3027348697338
3.6,0.247305588602837,-16.1027348697343
3.64,0.245444858436249,-16.9027348697343
3.68,0.24355076878445,-17.7027348697338
3.72,0.241623098525581,-18.5027348697343
3.76,0.239661624040299,-19.3027348697343
3.8,0.237666120414463,-20.1027348697337
3.84,0.235636362387361,-20.9027348697343
3.88,0.233572124929677,-21.7027348697343
3.92,0.231473184215844,-22.5027348697338
3.96,0.229339318358824,-23.3027348697343
4,0.227170307747565,-24.1027348697343
4.04,0.224965935782883,-24.9027348697337
4.08,0.222725989384589,-25.7027348697343
4.12,0.220450259091025,-26.5027348697343
4.16,0.218138539553001,-27.3027348697338
4.2,0.215790629809804,-28.1027348697343
4.24,0.213406333171372,-28.9027348697343
4.28,0.210985457461407,-29.7027348697338
4.32,0.208527815074758,-30.5027348697343
4.36,0.206033222646802,-31.3027348697343
4.4,0.203501501061224,-32.1027348697343
4.44,0.200932475293399,-32.9027348697343
4.48,0.198325973885117,-33.7027348697343
4.52,0.195681828695913,-34.5027348697348
4.56,0.192999874585024,-35.3027348697344
4.6,0.190279948645774,-36.1027348697344
4.64,0.187521889760733,-36.9027348697348
4.68,0.184725538070516,-37.7027348697344
4.72,0.181890733998812,-38.5027348697344
4.76,0.179017317602733,-39.3027348697348
4.8,0.176105127814612,-40.1027348697344
4.84,0.173154001270425,-40.9027348697344
4.88,0.170163771404958,-41.7027348697348
4.92,0.167134267492686,-42.5027348697344
4.96,0.164065313224828,-43.3027348697344
5,0.160956725556193,-44.1027348697349
5.04,0.157808313482551,-44.9027348697344
5.08,0.15461987635837,-45.7027348697344
5.12,0.151391202441514,-46.5027348697342
5.16,0.148122067359939,-47.3027348697344
5.2,0.144812232127303,-48.1027348697339
5.24,0.141461441306918,-48.9027348697344
5.28,0.138069421130998,-49.7027348697344
5.32,0.134635877088998,-50.5027348697338
5.36,0.131160491667569,-51.3027348697344
5.4,0.127642921984065,-52.1027348697344
5.44,0.124082796883789,-52.9027348697339
5.48,0.120479714085299,-53.7027348697345
5.52,0.116833237220909,-54.502734869735
5.56,0.11314289225662,-55.3027348697344
5.6,0.109408163902716,-56.102734869734
5.64,0.10562849183081,-56.9027348697345
5.68,0.101803266219266,-57.7027348697344
5.72,0.0979318231653852,-58.502734869734
5.76,0.0940134398044837,-59.3027348697345
5.8,0.0900473286657416,-60.1027348697345
5.84,0.0860326317250259,-60.902734869734
5.88,0.0819684140335657,-61.7027348697345
5.92,0.0778536564160056,-62.5027348697345
5.96,0.0736872476554861,-63.302734869734
6,0.0694679760358894,-64.1027348697345
6.04,0.0651945197218344,-64.9027348697345
6.08,0.0608654363043649,-65.702734869734
6.12,0.0564791513815691,-66.5027348697345
6.16,0.0520339456175993,-67.3027348697346
6.2,0.0475279404847096,-68.1027348697345
6.24,0.0429590825673453,-68.9027348697345
6.28,0.0383251257324624,-69.7027348697345
6.32,0.0336236112988864,-70.5027348697342
6.36,0.0288518459502889,-71.3027348697341
6.4,0.02400687661663,-72.1027348697345
6.44,0.0190854621825257,-72.9027348697347
6.48,0.0140840416662316,-73.7027348697346
6.52,0.00899869783179708,-74.5027348697351
6.56,0.00382511574842571,-75.3027348697346
6.6,0.00144146438757566,-76.1027348697346
6.64000000000001,0.00680630159629776,-76.9027348697346
6.68000000000001,0.0122752167592165,-77.7027348697342
6.72000000000001,0.0178546648698784,-78.5027348697346
6.76000000000001,0.0235518191181078,-79.3027348697346
6.80000000000001,0.0293746691359254,-80.1027348697346
6.84000000000001,0.0353321359614358,-80.9027348697346
6.88000000000001,0.0414342076517183,-81.7027348697346
6.92000000000001,0.0476921002007758,-82.5027348697351
6.96000000000001,0.0541184490618285,-83.3027348697346
7.00000000000001,0.0607275389387888,-84.1027348697346
7.04000000000001,0.0675355815139159,-84.9027348697351
7.08000000000001,0.0745610528422103,-85.7027348697346
7.12000000000001,0.0818251067993856,-86.5027348697346
7.16000000000001,0.0893520862690207,-87.302734869735
7.20000000000001,0.0971701600039001,-88.1027348697346
7.24000000000001,0.105312124204967,-88.9027348697346
7.28000000000001,0.113816422585824,-89.7027348697352
7.32000000000001,0.122728458473094,-90.5027348697347
7.36000000000001,0.132102304332603,-91.3027348697347
7.4,0.142002960792065,-92.1027348697351
