"Plot4"
"Time (sec)","Motor Torque4 (newton-meter)","Angular Displacement5 (deg)"
0,0.400712892735465,4.7052720286345e-14
0.04,0.401225688421651,0.960000000000142
0.08,0.401602759674808,1.92000000000007
0.12,0.401854964399922,2.88000000000002
0.16,0.401983213812609,3.83999999999996
0.2,0.401990670619691,4.7999999999999
0.24,0.401880336423117,5.75999999999983
0.28,0.401655070666255,6.71999999999977
0.32,0.401317607013761,7.67999999999971
0.36,0.400870567533237,8.63999999999967
0.4,0.400316474972507,9.5999999999996
0.44,0.399657763330611,10.5599999999995
0.48,0.39889678700889,11.5199999999995
0.52,0.398035828625449,12.48
0.56,0.397077105733203,13.4399999999996
0.6,0.396022776464586,14.4
0.64,0.394874944297307,15.36
0.68,0.393635662031246,16.3199999999995
0.72,0.392306934928558,17.28
0.76,0.390890723290069,18.24
0.8,0.389388944386932,19.1999999999996
0.84,0.387803473800007,20.16
0.88,0.386136146337781,21.12
0.92,0.384388756449974,22.0799999999998
0.96,0.382563058220234,23.04
1,0.380660765049806,24
1.04,0.378683548952379,24.9599999999998
1.08,0.376633039567881,25.92
1.12,0.374510822950665,26.88
1.16,0.372318440106399,27.8399999999998
1.2,0.370057385336765,28.8
1.24,0.367729104473053,29.76
1.28,0.365334992969463,30.7199999999996
1.32,0.362876393896776,31.68
1.36,0.360354595946661,32.64
1.4,0.357770831402885,33.5999999999995
1.44,0.355126274087751,34.56
1.48,0.352422037473313,35.5200000000004
1.52,0.349659172799797,36.4800000000005
1.56,0.346838667331406,37.4400000000001
1.6,0.343961442834702,38.4
1.64,0.341028354127575,39.3600000000004
1.68,0.33804018793123,40.3200000000001
1.72,0.334997661926108,41.2800000000001
1.76,0.331901424023067,42.2400000000004
1.8,0.328752051931831,43.2
1.84,0.325550053037656,44.16
1.88,0.322295864474577,45.1200000000004
1.92,0.318989853570734,46.0800000000001
1.96,0.315632318566414,47.0400000000001
2,0.312223489566136,48.0000000000002
2.04,0.308763529805594,48.9600000000006
2.08,0.305252537195678,49.92
2.12,0.301690546060465,50.8800000000001
2.16,0.298077529080396,51.8400000000003
2.2,0.294413399529885,52.8000000000005
2.24,0.29069801356024,53.76
2.28,0.286931172656609,54.7200000000001
2.32,0.283112626229129,55.6800000000003
2.36,0.279242074230984,56.6400000000001
2.4,0.27531916977057,57.5999999999995
2.44,0.271343521793758,58.5600000000001
2.48,0.267314697645368,59.5200000000001
2.52,0.263232225548177,60.4799999999995
2.56,0.259095597003001,61.4400000000001
2.6,0.254904268969603,62.4000000000001
2.64,0.250657665848252,63.3600000000003
2.68,0.246355181294161,64.3200000000006
2.72,0.241996179679388,65.2800000000001
2.76,0.237579997266921,66.2400000000001
2.8,0.233105943110017,67.2000000000005
2.84,0.228573299539804,68.1600000000001
2.88,0.223981322223439,69.12
2.92,0.219329239906591,70.0800000000003
2.96,0.21461625362143,71.0400000000006
3,0.209841535402706,72.0000000000001
3.04,0.205004226612539,72.9600000000001
3.08,0.200103435591445,73.9200000000006
3.12,0.195138234809075,74.8800000000001
3.16,0.190107657437859,75.84
3.2,0.185010693232048,76.8000000000001
3.24,0.179846283701958,77.7600000000001
3.28,0.174613316674791,78.7199999999997
3.32,0.169310619938177,79.6800000000001
3.36,0.163936954051758,80.6400000000001
3.4,0.158491004344389,81.5999999999996
3.44,0.152971371761317,82.5600000000001
3.48,0.147376562637289,83.5200000000001
3.52,0.141704977336384,84.4799999999996
3.56,0.135954897405681,85.4400000000001
3.6,0.130124471232573,86.4000000000001
3.64,0.124211698091165,87.3599999999996
3.68,0.118214410131288,88.3200000000001
3.72,0.112130252216995,89.2800000000002
3.76,0.105956659347056,90.2400000000004
3.8,0.0996908311119107,91.2000000000001
3.84,0.0933297028864069,92.1600000000006
3.88,0.0868699132866137,93.1200000000001
3.92,0.0803077671281626,94.0800000000001
3.96,0.0736391932221471,95.0400000000005
4,0.0668596962111334,96.0000000000001
4.04,0.0599643011877502,96.9600000000001
4.08,0.0529474898692878,97.9200000000006
4.12,0.0458031268035536,98.8800000000002
4.16,0.0385243734699109,99.8400000000002
4.2,0.031103587894925,100.800000000001
4.24,0.023532206817651,101.76
4.28,0.0158006064314194,102.72
4.32,0.00789793693346011,103.680000000001
4.36,0.000188075188209672,104.64
4.4,0.00847136517414723,105.6
4.44,0.0169678184605192,106.560000000001
4.48,0.0256956229019481,107.52
4.52,0.0346757025326296,108.48
4.56,0.0439322563259399,109.440000000001
4.6,0.0534934337219867,110.4
4.64,0.063392190635826,111.36
4.68,0.0736673860616173,112.320000000001
4.72,0.0843652045049526,113.28
4.76,0.0955410257511251,114.24
4.8,0.107261919229877,115.2
4.84,0.119610026336421,116.160000000001
4.88,0.132687230358471,117.12
4.92,0.146621735337,118.08
4.96,0.161577544565555,119.040000000001
5,0.177768464324959,120
